frame,class,score,boxes
112,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.33989980816841125, 0.3418496549129486, 0.38803061842918396, 0.435734361410141, 0.5410513877868652, 0.6502397656440735, 0.8481535911560059, 0.9128252863883972, 0.9368551969528198, 0.939363956451416, 0.9444695115089417]","[[396.7518310546875, 0.2677145004272461, 617.20166015625, 228.46086502075195], [377.0416946411133, -0.1627178192138672, 429.91607666015625, 203.6015338897705], [559.4526214599609, 0.517704963684082, 635.6678924560547, 201.09574127197266], [0.1260395050048828, 613.2426910400391, 34.06141662597656, 718.8523406982422], [622.4140319824219, 257.92918395996094, 744.0736083984375, 502.5446548461914], [188.56335067749023, 25.098811626434326, 274.03575897216797, 125.83656120300293], [175.70300674438477, 174.32684898376465, 335.8135528564453, 586.7913208007812], [0.1863555908203125, 167.58666801452637, 115.49393463134766, 718.1200332641602], [55.265167236328125, 434.8575439453125, 389.3363800048828, 720.0269165039062], [451.25042724609375, 101.22200202941895, 639.4549255371094, 551.3194198608398], [789.2539672851562, 311.2379379272461, 959.7764282226562, 718.5883255004883]]"
113,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3499808609485626, 0.37209439277648926, 0.381794810295105, 0.4337347447872162, 0.5354844927787781, 0.6398488879203796, 0.8490418791770935, 0.9127943515777588, 0.9370052218437195, 0.9393017888069153, 0.9445143938064575]","[[377.0697784423828, -0.1943807601928711, 429.9019317626953, 203.4679298400879], [559.6084899902344, 0.49945735931396484, 635.6069641113281, 201.13608169555664], [397.3886260986328, 0.2985191345214844, 617.5188446044922, 228.58863258361816], [0.12435722351074219, 613.2411117553711, 34.05604934692383, 718.852409362793], [622.4642028808594, 258.1618881225586, 744.0615234375, 502.54335021972656], [188.23762893676758, 25.117677211761475, 273.7861633300781, 125.78360366821289], [175.7116928100586, 174.33534622192383, 335.7066879272461, 586.7964019775391], [0.1869335174560547, 167.588041305542, 115.48970031738281, 718.1415939331055], [55.350860595703125, 434.9461898803711, 389.31724548339844, 720.0308303833008], [451.2454833984375, 101.24366569519043, 639.451904296875, 551.3212738037109], [789.2476501464844, 311.2477569580078, 959.7774353027344, 718.58056640625]]"
114,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.33362385630607605, 0.346853107213974, 0.41742992401123047, 0.6576589941978455, 0.8273888826370239, 0.8856642246246338, 0.8910136818885803, 0.9251478910446167, 0.940213143825531, 0.9423031210899353]","[[649.049560546875, 206.10229682922363, 827.8623962402344, 494.88848876953125], [555.5195617675781, -0.2263355255126953, 639.2419738769531, 175.84768295288086], [408.804931640625, 1.3586397171020508, 476.6539306640625, 244.66137313842773], [183.1819610595703, 26.727019786834717, 271.0011291503906, 125.45521545410156], [333.67840576171875, 0.35886669158935547, 411.43968200683594, 196.92605209350586], [183.97366333007812, 175.70223426818848, 345.02783203125, 623.8438110351562], [719.2468872070312, 309.8316879272461, 947.2659301757812, 716.35693359375], [0.2589397430419922, 174.0992431640625, 101.9417724609375, 718.8035888671875], [477.2475128173828, 94.3626880645752, 645.7290802001953, 549.1862869262695], [36.87151336669922, 450.19068145751953, 374.1305923461914, 719.1869430541992]]"
115,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3466350734233856, 0.5255120992660522, 0.6270548701286316, 0.6312002539634705, 0.6784884333610535, 0.8510246276855469, 0.8832747340202332, 0.8855046033859253, 0.904536783695221, 0.9274486303329468]","[[557.0944976806641, 3.9905948638916016, 640.5357513427734, 164.69925498962402], [412.9488830566406, 0.4186391830444336, 502.13214111328125, 245.7103614807129], [807.1879577636719, 346.5991859436035, 956.7450256347656, 712.3406066894531], [184.15642547607422, 28.226928234100342, 270.6843795776367, 124.9834041595459], [308.8366470336914, 0.33060264587402344, 374.45592498779297, 187.69132232666016], [652.740234375, 306.69488525390625, 855.5114135742188, 718.1424179077148], [0.1900634765625, 200.28889846801758, 92.53581619262695, 716.1219635009766], [514.3410186767578, 92.7429428100586, 649.3722381591797, 541.9784317016602], [186.73846435546875, 179.94374656677246, 359.00267028808594, 718.5758972167969], [5.916618347167969, 486.1006965637207, 326.8088836669922, 719.1133346557617]]"
116,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.32137611508369446, 0.34965553879737854, 0.35992175340652466, 0.390451043844223, 0.4897439479827881, 0.7230038642883301, 0.7586296796798706, 0.8307709693908691, 0.875965416431427, 0.8826767206192017]","[[559.0992279052734, 0.6169638633728027, 615.4880218505859, 102.80942344665527], [767.0669860839844, 47.98682641983032, 843.5375061035156, 130.47262001037598], [414.73187255859375, 0.049635887145996094, 478.730712890625, 245.99713897705078], [517.1106262207031, 33.71407985687256, 629.4201965332031, 295.0491371154785], [182.07030487060547, 27.730835437774658, 266.7301712036133, 125.87734794616699], [561.1869506835938, 73.94087219238281, 648.63134765625, 514.4769744873047], [589.1591949462891, 286.66238021850586, 835.5398254394531, 717.9429473876953], [-0.021712303161621094, 211.56100845336914, 84.24213409423828, 556.4708061218262], [162.09933471679688, 209.30613327026367, 360.17628479003906, 720.2885284423828], [0.7906951904296875, 544.2484130859375, 202.73451232910156, 719.2937164306641]]"
117,"[0, 0, 0, 0, 0, 0, 0]","[0.39190658926963806, 0.46309417486190796, 0.6767929792404175, 0.7998166084289551, 0.8514348864555359, 0.8878099918365479, 0.9129490852355957]","[[688.4187469482422, 301.1612434387207, 801.7964172363281, 719.4909210205078], [776.8807983398438, 91.3934440612793, 873.6110229492188, 477.05726623535156], [182.2759552001953, 27.019801139831543, 267.90138244628906, 125.47105121612549], [0.31523609161376953, 248.50844192504883, 71.47351455688477, 719.9917602539062], [553.8370513916016, 281.75047874450684, 752.0275726318359, 717.1743850708008], [127.29082489013672, 212.21325302124023, 319.2605209350586, 720.263671875], [503.61012268066406, 29.513534545898438, 641.6697235107422, 453.1357727050781]]"
118,"[0, 0, 0, 0, 0, 0]","[0.32684630155563354, 0.4498370587825775, 0.6203943490982056, 0.8298024535179138, 0.8773208260536194, 0.8981370329856873]","[[701.3832092285156, 272.6777114868164, 794.7822875976562, 501.7248001098633], [0.44501209259033203, 344.3650131225586, 52.071739196777344, 718.2178115844727], [183.2106170654297, 27.093533992767334, 262.1181335449219, 124.95870208740234], [494.3921356201172, 284.87720489501953, 735.0045318603516, 719.2875366210938], [488.9555969238281, 45.06938552856445, 637.1773681640625, 464.0862922668457], [101.31951141357422, 229.55410766601562, 281.0318298339844, 717.5813598632812]]"
119,"[0, 0, 0, 0, 0, 0]","[0.3253689706325531, 0.4486110508441925, 0.6231307983398438, 0.8297051787376404, 0.8777356743812561, 0.8969817161560059]","[[701.3841705322266, 272.77897453308105, 794.7871398925781, 501.74244689941406], [0.44443416595458984, 344.37648010253906, 52.06394577026367, 718.2177429199219], [183.1988525390625, 27.087783336639404, 262.1472930908203, 124.95799827575684], [494.36114501953125, 284.8693599700928, 735.1945495605469, 719.2873992919922], [488.9519348144531, 45.076406478881836, 637.1715087890625, 464.0928497314453], [101.34466552734375, 229.4385108947754, 281.03961181640625, 717.5747680664062]]"
120,"[0, 0, 0, 0]","[0.3629024922847748, 0.5819501280784607, 0.8781520128250122, 0.9098663926124573]","[[675.8432922363281, 8.01229476928711, 845.2657470703125, 500.0855026245117], [466.0423278808594, 47.90195274353027, 619.4639282226562, 316.5797653198242], [435.257080078125, 264.35505294799805, 651.1488647460938, 721.8106842041016], [68.13848876953125, 252.66705894470215, 254.23418426513672, 719.4860458374023]]"
121,"[0, 0, 0, 0, 0]","[0.33489030599594116, 0.4026695489883423, 0.8439964056015015, 0.8766142129898071, 0.9055410623550415]","[[693.9972839355469, 0.3213071823120117, 794.8591918945312, 131.48016929626465], [731.4220275878906, 75.55126190185547, 875.6778259277344, 498.75828552246094], [453.0727844238281, 52.78942680358887, 607.2389831542969, 340.79026794433594], [395.68601989746094, 258.19688987731934, 663.0067291259766, 722.4004440307617], [61.293514251708984, 250.03621101379395, 229.7732391357422, 717.6418533325195]]"
122,"[0, 0, 0, 0, 0, 0]","[0.2767512798309326, 0.2777966558933258, 0.29708507657051086, 0.8501371741294861, 0.8719911575317383, 0.9217432141304016]","[[693.6226501464844, 0.7495293617248535, 786.1009826660156, 126.78420066833496], [778.8956909179688, 176.63509368896484, 871.1705932617188, 472.91212463378906], [190.89867782592773, 26.378693103790283, 270.23638916015625, 123.93687057495117], [346.8354263305664, 271.25184059143066, 527.1697082519531, 725.0475311279297], [445.919677734375, 73.97429466247559, 602.2845153808594, 452.4123229980469], [31.58544158935547, 267.46679306030273, 209.6349105834961, 719.6139678955078]]"
123,"[0, 0, 0, 0, 0, 0]","[0.2671268880367279, 0.3186502456665039, 0.6127974987030029, 0.8787229657173157, 0.9164841175079346, 0.9341724514961243]","[[407.3312530517578, 280.2813148498535, 512.5670013427734, 722.9723510742188], [845.68505859375, 495.7024726867676, 959.284423828125, 717.8177032470703], [190.92720794677734, 27.234785556793213, 270.7104721069336, 123.63987922668457], [280.927001953125, 259.92346000671387, 465.3294982910156, 722.7637481689453], [450.4994201660156, 72.52935218811035, 604.9853210449219, 520.402587890625], [0.2054443359375, 294.6778335571289, 178.95904541015625, 719.3888168334961]]"
