frame,class,score,boxes
30,"[0, 0, 0, 0, 0, 0, 0]","[0.3067828416824341, 0.3411981463432312, 0.3854210078716278, 0.437755286693573, 0.80387282371521, 0.921777606010437, 0.9498379230499268]","[[158.66754913330078, 19.4670352935791, 280.99422454833984, 421.0078353881836], [424.0229187011719, 0.2516212463378906, 498.61669921875, 181.4567356109619], [177.61951446533203, 23.66669225692749, 252.9576187133789, 124.84892463684082], [562.1878967285156, 2.002387046813965, 637.6767883300781, 287.20400619506836], [590.5700225830078, 11.433488845825195, 722.6370391845703, 459.6687927246094], [338.5137176513672, 108.4562931060791, 546.3379669189453, 679.4857864379883], [159.80998992919922, 258.91747283935547, 452.2770080566406, 719.2075424194336]]"
31,"[0, 0, 0]","[0.7993364334106445, 0.9268378615379333, 0.9510446786880493]","[[543.4410552978516, 13.254558563232422, 649.8941802978516, 464.1752815246582], [311.6091613769531, 97.00148391723633, 513.2904968261719, 715.0543670654297], [150.64430236816406, 250.85053825378418, 402.8345031738281, 717.883415222168]]"
32,"[0, 0, 0, 0, 0]","[0.40444809198379517, 0.44312596321105957, 0.8845104575157166, 0.8937830328941345, 0.9147948622703552]","[[174.97204971313477, 26.441619873046875, 273.25653076171875, 124.8834114074707], [520.1654205322266, 0.022788047790527344, 570.9918365478516, 107.6834306716919], [523.9377136230469, 35.81927490234375, 647.1867370605469, 481.4728775024414], [128.94095993041992, 289.2026596069336, 363.6781768798828, 719.057991027832], [288.60003662109375, 116.14224243164062, 483.4954833984375, 717.8281402587891]]"
33,"[0, 0, 0, 0]","[0.5948348641395569, 0.9227616786956787, 0.9334002733230591, 0.9442416429519653]","[[0.29917287826538086, 521.8483200073242, 46.56572341918945, 719.2796401977539], [507.4335021972656, 51.52471160888672, 642.5693664550781, 506.1390037536621], [268.10009765625, 133.32036209106445, 474.53448486328125, 719.0752258300781], [61.086273193359375, 317.1166534423828, 325.7314453125, 720.1748886108398]]"
34,"[0, 0, 0, 0, 0]","[0.3092280924320221, 0.5289522409439087, 0.9240612983703613, 0.9283195734024048, 0.9490054845809937]","[[0.36179065704345703, 232.4385166168213, 51.40547561645508, 690.8050003051758], [353.5562438964844, 1.355936050415039, 502.6745910644531, 353.1167907714844], [501.45465087890625, 47.80199432373047, 641.6172180175781, 513.0240325927734], [243.8308868408203, 132.98589706420898, 464.0415802001953, 719.3106079101562], [25.89309310913086, 309.68828201293945, 275.3963928222656, 719.6351165771484]]"
35,"[0, 0, 0, 0, 0]","[0.30891352891921997, 0.5274508595466614, 0.9241719245910645, 0.9276757836341858, 0.9491516351699829]","[[0.3658561706542969, 232.26208305358887, 51.43208312988281, 690.9544830322266], [352.29107666015625, 1.3486576080322266, 502.7300720214844, 353.12523651123047], [501.4639434814453, 47.71374320983887, 641.6170806884766, 513.0135269165039], [243.85757446289062, 132.96265411376953, 463.92686462402344, 719.0359497070312], [25.971622467041016, 309.6942901611328, 275.43150329589844, 719.6473388671875]]"
36,"[0, 0, 0, 0, 0, 0, 0]","[0.30898359417915344, 0.3539012670516968, 0.6010417342185974, 0.678778886795044, 0.9022397994995117, 0.9348899722099304, 0.9486689567565918]","[[176.9641571044922, 25.286561965942383, 274.8809051513672, 123.89922523498535], [313.1704330444336, 14.456857681274414, 400.4670867919922, 243.4899730682373], [0.45827293395996094, 204.66195487976074, 80.7561264038086, 575.1020050048828], [399.2443542480469, 4.190271377563477, 503.40179443359375, 353.73937225341797], [481.0084991455078, 65.36710739135742, 626.3514862060547, 544.9498558044434], [225.8686065673828, 135.1077003479004, 435.1524353027344, 719.2530670166016], [0.7831192016601562, 349.94733810424805, 214.5574722290039, 718.9017791748047]]"
37,"[0, 0, 0, 0, 0, 0]","[0.30906379222869873, 0.549490749835968, 0.8141204118728638, 0.901087760925293, 0.9116377234458923, 0.9536805748939514]","[[320.03013610839844, 0.17523193359375, 422.9179229736328, 289.9677200317383], [568.1623077392578, 1.7884540557861328, 644.3706207275391, 295.77117919921875], [0.14647293090820312, 141.59523010253906, 99.7715835571289, 494.64170837402344], [0.46907615661621094, 380.9999885559082, 118.78548431396484, 718.27734375], [441.44769287109375, 70.13294219970703, 624.4651794433594, 555.2670135498047], [198.1311492919922, 162.76088905334473, 414.7152557373047, 719.5884246826172]]"
38,"[0, 0, 0, 0, 0, 0, 0]","[0.2791306674480438, 0.5918533205986023, 0.6616919040679932, 0.7318779826164246, 0.9135622382164001, 0.9344766736030579, 0.9461253881454468]","[[178.07489776611328, 23.57935094833374, 277.6673355102539, 124.67329788208008], [563.3381652832031, 0.22913360595703125, 644.5365600585938, 294.66375732421875], [0.16465187072753906, 138.3037691116333, 99.8096694946289, 349.39915466308594], [317.38641357421875, 6.490190505981445, 434.9593048095703, 298.4201889038086], [0.27088165283203125, 272.8743667602539, 153.06356048583984, 718.9654998779297], [413.0102233886719, 76.72575187683105, 610.6700134277344, 574.3814392089844], [149.22164154052734, 171.88493156433105, 385.2747802734375, 719.1397705078125]]"
39,"[0, 0, 0, 0, 0, 0, 0]","[0.3554218113422394, 0.36377495527267456, 0.5302273631095886, 0.8641987442970276, 0.8642299175262451, 0.9365917444229126, 0.9467246532440186]","[[172.32543182373047, 22.341736793518066, 275.38680267333984, 123.55182552337646], [50.493438720703125, 244.95324897766113, 170.25196838378906, 674.039176940918], [563.5547332763672, 0.6554546356201172, 645.9965972900391, 317.52513885498047], [-0.23704147338867188, 123.17460823059082, 109.97843170166016, 681.0059509277344], [322.43247985839844, 3.1730575561523438, 454.88905334472656, 300.51507568359375], [422.0272521972656, 91.72396087646484, 621.7555847167969, 601.3555526733398], [100.68081665039062, 173.4111213684082, 353.5198516845703, 718.6067962646484]]"
